profile,stage,play_hours,calendar_days,level,rebirth,weapon_level,weapon_grade,status
casual,10,0.018,0.04,1,0,0,0,ok
normal,10,0.012,0.01,1,0,0,0,ok
top,10,0.004,0.00,1,0,0,0,ok
casual,50,11.095,22.19,60,3,15,3,ok
normal,50,5.396,3.60,69,3,19,3,ok
top,50,1.617,0.27,73,2,19,2,ok
casual,100,40.187,80.37,124,4,15,4,ok
normal,100,34.468,22.98,124,5,20,6,ok
top,100,7.334,1.22,119,4,25,4,ok
casual,250,130.463,260.93,274,5,15,6,ok
normal,250,124.684,83.12,279,5,20,6,ok
top,250,25.071,4.18,269,5,25,6,ok
casual,500,280.922,561.84,524,5,15,6,ok
normal,500,275.044,183.36,529,5,20,6,ok
top,500,54.493,9.08,519,5,25,6,ok
casual,1000,581.844,1163.69,1024,5,15,6,ok
normal,1000,575.763,383.84,1029,5,20,6,ok
top,1000,113.338,18.89,1019,5,25,6,ok
casual,2000,1194.610,2389.22,2018,5,15,6,ok
normal,2000,1169.560,779.71,2026,5,20,6,ok
top,2000,235.478,39.25,2021,5,25,6,ok
casual,3000,19896.036,39792.07,3048,5,15,6,ok
normal,3000,3677.344,2451.56,3043,5,20,6,ok
top,3000,760.765,126.79,3035,5,25,6,ok
casual,4000,,,,,,,none
normal,4000,,,,,,,none
top,4000,,,,,,,none
casual,4738,,,,,,,none
normal,4738,,,,,,,none
top,4738,,,,,,,none
